startdate,Trip_number,membertype
2010-09-20,212,212
2010-09-21,324,324
2010-09-22,377,377
2010-09-23,373,373
2010-09-24,362,362
2010-09-25,539,539
2010-09-26,537,537
2010-09-27,286,286
2010-09-28,411,411
2010-09-29,422,422
2010-09-30,159,159
2010-10-01,578,578
2010-10-02,839,839
2010-10-03,505,505
2010-10-04,326,326
2010-10-05,624,624
2010-10-06,663,663
2010-10-07,869,869
2010-10-08,914,914
2010-10-09,1109,1109
2010-10-10,1097,1097
2010-10-11,967,967
2010-10-12,1080,1080
2010-10-13,1131,1131
2010-10-14,573,573
2010-10-15,1138,1138
2010-10-16,1374,1374
2010-10-17,1332,1332
2010-10-18,1137,1137
2010-10-19,1149,1149
2010-10-20,1140,1140
2010-10-21,1329,1329
2010-10-22,1362,1362
2010-10-23,1698,1698
2010-10-24,1544,1544
2010-10-25,1327,1327
2010-10-26,1554,1554
2010-10-27,1017,1017
2010-10-28,1695,1695
2010-10-29,1652,1652
2010-10-30,2292,2292
2010-10-31,1942,1942
2010-11-01,1451,1451
2010-11-02,1405,1405
2010-11-03,1490,1490
2010-11-04,589,589
2010-11-05,1854,1854
2010-11-06,1816,1816
2010-11-07,1414,1414
2010-11-08,1599,1599
2010-11-09,1934,1934
2010-11-10,2049,2049
2010-11-11,2049,2049
2010-11-12,2020,2020
2010-11-13,2265,2265
2010-11-14,2005,2005
2010-11-15,1736,1736
2010-11-16,772,772
2010-11-17,1923,1923
2010-11-18,1856,1856
2010-11-19,1955,1955
2010-11-20,2351,2351
2010-11-21,1752,1752
2010-11-22,1905,1905
2010-11-23,1765,1765
2010-11-24,1479,1479
2010-11-25,553,553
2010-11-26,778,778
2010-11-27,938,938
2010-11-28,944,944
2010-11-29,1484,1484
2010-11-30,1259,1259
2010-12-01,979,979
2010-12-02,1458,1458
2010-12-03,1586,1586
2010-12-04,1204,1204
2010-12-05,1011,1011
2010-12-06,1182,1182
2010-12-07,1072,1072
2010-12-08,1134,1134
2010-12-09,1268,1268
2010-12-10,1276,1276
2010-12-11,1129,1129
2010-12-12,420,420
2010-12-13,1033,1033
2010-12-14,844,844
2010-12-15,1049,1049
2010-12-16,669,669
2010-12-17,854,854
2010-12-18,823,823
2010-12-19,799,799
2010-12-20,1025,1025
2010-12-21,1036,1036
2010-12-22,1097,1097
2010-12-23,738,738
2010-12-24,343,343
2010-12-25,188,188
2010-12-26,84,84
2010-12-27,298,298
2010-12-28,689,689
2010-12-29,923,923
2010-12-30,1103,1103
2010-12-31,934,934
2011-01-01,959,959
2011-01-02,781,781
2011-01-03,1301,1301
2011-01-04,1536,1536
2011-01-05,1571,1571
2011-01-06,1573,1573
2011-01-07,1493,1493
2011-01-08,939,939
2011-01-09,802,802
2011-01-10,1298,1298
2011-01-11,1231,1231
2011-01-12,1141,1141
2011-01-13,1383,1383
2011-01-14,1384,1384
2011-01-15,1240,1240
2011-01-16,1188,1188
2011-01-17,993,993
2011-01-18,672,672
2011-01-19,1631,1631
2011-01-20,1896,1896
2011-01-21,1522,1522
2011-01-22,969,969
2011-01-23,977,977
2011-01-24,1405,1405
2011-01-25,1971,1971
2011-01-26,500,500
2011-01-27,424,424
2011-01-28,1151,1151
2011-01-29,1070,1070
2011-01-30,1084,1084
2011-01-31,1418,1418
2011-02-01,1331,1331
2011-02-02,1502,1502
2011-02-03,1534,1534
2011-02-04,1691,1691
2011-02-05,992,992
2011-02-06,1603,1603
2011-02-07,1687,1687
2011-02-08,1510,1510
2011-02-09,1592,1592
2011-02-10,1520,1520
2011-02-11,1724,1724
2011-02-12,1455,1455
2011-02-13,1558,1558
2011-02-14,1892,1892
2011-02-15,1780,1780
2011-02-16,2079,2079
2011-02-17,2443,2443
2011-02-18,2892,2892
2011-02-19,1609,1609
2011-02-20,1787,1787
2011-02-21,1093,1093
2011-02-22,1432,1432
2011-02-23,1879,1879
2011-02-24,1786,1786
2011-02-25,1443,1443
2011-02-26,1943,1943
2011-02-27,2371,2371
2011-02-28,1430,1430
2011-03-01,1832,1832
2011-03-02,2109,2109
2011-03-03,1659,1659
2011-03-04,1923,1923
2011-03-05,2054,2054
2011-03-06,582,582
2011-03-07,1842,1842
2011-03-08,2097,2097
2011-03-09,1868,1868
2011-03-10,616,616
2011-03-11,1953,1953
2011-03-12,2104,2104
2011-03-13,2375,2375
2011-03-14,2032,2032
2011-03-15,2024,2024
2011-03-16,2172,2172
2011-03-17,2718,2718
2011-03-18,3194,3194
2011-03-19,3056,3056
2011-03-20,2418,2418
2011-03-21,2058,2058
2011-03-22,2667,2667
2011-03-23,2101,2101
2011-03-24,1844,1844
2011-03-25,2186,2186
2011-03-26,2458,2458
2011-03-27,1665,1665
2011-03-28,2004,2004
2011-03-29,2397,2397
2011-03-30,1519,1519
2011-03-31,1668,1668
2011-04-01,2192,2192
2011-04-02,2225,2225
2011-04-03,3212,3212
2011-04-04,3079,3079
2011-04-05,1768,1768
2011-04-06,2776,2776
2011-04-07,3001,3001
2011-04-08,1454,1454
2011-04-09,2428,2428
2011-04-10,2850,2850
2011-04-11,3304,3304
2011-04-12,1997,1997
2011-04-13,2128,2128
2011-04-14,3210,3210
2011-04-15,3083,3083
2011-04-16,775,775
2011-04-17,3678,3678
2011-04-18,3369,3369
2011-04-19,3139,3139
2011-04-20,3898,3898
2011-04-21,3992,3992
2011-04-22,1648,1648
2011-04-23,3970,3970
2011-04-24,4116,4116
2011-04-25,4021,4021
2011-04-26,4331,4331
2011-04-27,3809,3809
2011-04-28,3996,3996
2011-04-29,4437,4437
2011-04-30,5214,5214
2011-05-01,3295,3295
2011-05-02,4329,4329
2011-05-03,4366,4366
2011-05-04,2595,2595
2011-05-05,4338,4338
2011-05-06,4536,4536
2011-05-07,4616,4616
2011-05-08,4245,4245
2011-05-09,4283,4283
2011-05-10,4733,4733
2011-05-11,4104,4104
2011-05-12,4770,4770
2011-05-13,4038,4038
2011-05-14,3352,3352
2011-05-15,4484,4484
2011-05-16,3909,3909
2011-05-17,4067,4067
2011-05-18,3812,3812
2011-05-19,4503,4503
2011-05-20,4844,4844
2011-05-21,5731,5731
2011-05-22,4596,4596
2011-05-23,4224,4224
2011-05-24,4422,4422
2011-05-25,4917,4917
2011-05-26,4631,4631
2011-05-27,4622,4622
2011-05-28,4693,4693
2011-05-29,4743,4743
2011-05-30,4047,4047
2011-05-31,3940,3940
2011-06-01,3931,3931
2011-06-02,4912,4912
2011-06-03,5242,5242
2011-06-04,5248,5248
2011-06-05,4859,4859
2011-06-06,4488,4488
2011-06-07,4783,4783
2011-06-08,4358,4358
2011-06-09,3889,3889
2011-06-10,4540,4540
2011-06-11,4902,4902
2011-06-12,4407,4407
2011-06-13,4969,4969
2011-06-14,4829,4829
2011-06-15,5123,5123
2011-06-16,3725,3725
2011-06-17,4772,4772
2011-06-18,5054,5054
2011-06-19,4676,4676
2011-06-20,3967,3967
2011-06-21,4769,4769
2011-06-22,4445,4445
2011-06-23,4724,4724
2011-06-24,4930,4930
2011-06-25,5114,5114
2011-06-26,5241,5241
2011-06-27,4655,4655
2011-06-28,4580,4580
2011-06-29,5155,5155
2011-06-30,5456,5456
2011-07-01,5296,5296
2011-07-02,5052,5052
2011-07-03,4591,4591
2011-07-04,5975,5975
2011-07-05,4614,4614
2011-07-06,4569,4569
2011-07-07,4507,4507
2011-07-08,3979,3979
2011-07-09,5268,5268
2011-07-10,4827,4827
2011-07-11,4040,4040
2011-07-12,4207,4207
2011-07-13,4289,4289
2011-07-14,5017,5017
2011-07-15,5475,5475
2011-07-16,5847,5847
2011-07-17,5245,5245
2011-07-18,4404,4404
2011-07-19,4469,4469
2011-07-20,4273,4273
2011-07-21,3737,3737
2011-07-22,3348,3348
2011-07-23,3241,3241
2011-07-24,3562,3562
2011-07-25,3790,3790
2011-07-26,4510,4510
2011-07-27,4602,4602
2011-07-28,4346,4346
2011-07-29,3819,3819
2011-07-30,4417,4417
2011-07-31,4262,4262
2011-08-01,4216,4216
2011-08-02,4804,4804
2011-08-03,3529,3529
2011-08-04,4529,4529
2011-08-05,4818,4818
2011-08-06,4245,4245
2011-08-07,3737,3737
2011-08-08,4276,4276
2011-08-09,4550,4550
2011-08-10,4710,4710
2011-08-11,4737,4737
2011-08-12,4848,4848
2011-08-13,4085,4085
2011-08-14,3774,3774
2011-08-15,4281,4281
2011-08-16,4673,4673
2011-08-17,4642,4642
2011-08-18,3756,3756
2011-08-19,4102,4102
2011-08-20,5104,5104
2011-08-21,3809,3809
2011-08-22,4699,4699
2011-08-23,5818,5818
2011-08-24,5064,5064
2011-08-25,3490,3490
2011-08-26,4607,4607
2011-08-27,1105,1105
2011-08-28,4289,4289
2011-08-29,4576,4576
2011-08-30,5148,5148
2011-08-31,4999,4999
2011-09-01,5059,5059
2011-09-02,4682,4682
2011-09-03,4426,4426
2011-09-04,4901,4901
2011-09-05,3310,3310
2011-09-06,2666,2666
2011-09-07,1964,1964
2011-09-08,1810,1810
2011-09-09,3510,3510
2011-09-10,5270,5270
2011-09-11,4957,4957
2011-09-12,4638,4638
2011-09-13,4713,4713
2011-09-14,4736,4736
2011-09-15,3612,3612
2011-09-16,4693,4693
2011-09-17,4462,4462
2011-09-18,4228,4228
2011-09-19,4467,4467
2011-09-20,3593,3593
2011-09-21,4305,4305
2011-09-22,4743,4743
2011-09-23,2367,2367
2011-09-24,5353,5353
2011-09-25,4960,4960
2011-09-26,4587,4587
2011-09-27,4069,4069
2011-09-28,3877,3877
2011-09-29,4793,4793
2011-09-30,5150,5150
2011-10-01,2402,2402
2011-10-02,2884,2884
2011-10-03,3529,3529
2011-10-04,4405,4405
2011-10-05,4771,4771
2011-10-06,4717,4717
2011-10-07,4925,4925
2011-10-08,5337,5337
2011-10-09,5445,5445
2011-10-10,5052,5052
2011-10-11,4503,4503
2011-10-12,2392,2392
2011-10-13,2882,2882
2011-10-14,3592,3592
2011-10-15,5136,5136
2011-10-16,4971,4971
2011-10-17,4519,4519
2011-10-18,4699,4699
2011-10-19,2398,2398
2011-10-20,4152,4152
2011-10-21,4258,4258
2011-10-22,4248,4248
2011-10-23,4326,4326
2011-10-24,4142,4142
2011-10-25,4630,4630
2011-10-26,3856,3856
2011-10-27,2629,2629
2011-10-28,3708,3708
2011-10-29,619,619
2011-10-30,3288,3288
2011-10-31,3633,3633
2011-11-01,4038,4038
2011-11-02,4136,4136
2011-11-03,3914,3914
2011-11-04,4003,4003
2011-11-05,3887,3887
2011-11-06,3612,3612
2011-11-07,3975,3975
2011-11-08,4149,4149
2011-11-09,4057,4057
2011-11-10,2903,2903
2011-11-11,3337,3337
2011-11-12,4033,4033
2011-11-13,3684,3684
2011-11-14,4427,4427
2011-11-15,4161,4161
2011-11-16,1805,1805
2011-11-17,3025,3025
2011-11-18,3356,3356
2011-11-19,3620,3620
2011-11-20,3472,3472
2011-11-21,2730,2730
2011-11-22,1587,1587
2011-11-23,2535,2535
2011-11-24,1477,1477
2011-11-25,2772,2772
2011-11-26,3025,3025
2011-11-27,3029,3029
2011-11-28,3812,3812
2011-11-29,2887,2887
2011-11-30,3576,3576
2011-12-01,3682,3682
2011-12-02,3901,3901
2011-12-03,3562,3562
2011-12-04,3441,3441
2011-12-05,3744,3744
2011-12-06,2563,2563
2011-12-07,698,698
2011-12-08,3295,3295
2011-12-09,3583,3583
2011-12-10,3160,3160
2011-12-11,2713,2713
2011-12-12,3264,3264
2011-12-13,3481,3481
2011-12-14,3693,3693
2011-12-15,3670,3670
2011-12-16,3537,3537
2011-12-17,2710,2710
2011-12-18,2402,2402
2011-12-19,3366,3366
2011-12-20,3714,3714
2011-12-21,2640,2640
2011-12-22,3028,3028
2011-12-23,2182,2182
2011-12-24,994,994
2011-12-25,742,742
2011-12-26,1293,1293
2011-12-27,1152,1152
2011-12-28,2275,2275
2011-12-29,2403,2403
2011-12-30,2967,2967
2011-12-31,2457,2457
2012-01-01,2260,2260
2012-01-02,1937,1937
2012-01-03,2219,2219
2012-01-04,2357,2357
2012-01-05,3251,3251
2012-01-06,4054,4054
2012-01-07,4480,4480
2012-01-08,3408,3408
2012-01-09,2325,2325
2012-01-10,3573,3573
2012-01-11,2166,2166
2012-01-12,4063,4063
2012-01-13,3190,3190
2012-01-14,2470,2470
2012-01-15,2292,2292
2012-01-16,2277,2277
2012-01-17,2913,2913
2012-01-18,3353,3353
2012-01-19,3278,3278
2012-01-20,3126,3126
2012-01-21,1284,1284
2012-01-22,1954,1954
2012-01-23,2411,2411
2012-01-24,4295,4295
2012-01-25,4234,4234
2012-01-26,4027,4027
2012-01-27,3418,3418
2012-01-28,3989,3989
2012-01-29,3206,3206
2012-01-30,3585,3585
2012-01-31,4476,4476
2012-02-01,4545,4545
2012-02-02,3737,3737
2012-02-03,4118,4118
2012-02-04,2797,2797
2012-02-05,2913,2913
2012-02-06,3757,3757
2012-02-07,4351,4351
2012-02-08,2783,2783
2012-02-09,3792,3792
2012-02-10,3797,3797
2012-02-11,2153,2153
2012-02-12,1513,1513
2012-02-13,3397,3397
2012-02-14,3885,3885
2012-02-15,4130,4130
2012-02-16,2982,2982
2012-02-17,4112,4112
2012-02-18,4271,4271
2012-02-19,2669,2669
2012-02-20,3091,3091
2012-02-21,3749,3749
2012-02-22,4736,4736
2012-02-23,5015,5015
2012-02-24,3459,3459
2012-02-25,2689,2689
2012-02-26,3360,3360
2012-02-27,4286,4286
2012-02-28,4333,4333
2012-02-29,1815,1815
2012-03-01,4935,4935
2012-03-02,3154,3154
2012-03-03,4020,4020
2012-03-04,3378,3378
2012-03-05,3308,3308
2012-03-06,3925,3925
2012-03-07,4874,4874
2012-03-08,5324,5324
2012-03-09,4525,4525
2012-03-10,4072,4072
2012-03-11,4865,4865
2012-03-12,5251,5251
2012-03-13,5788,5788
2012-03-14,6250,6250
2012-03-15,6129,6129
2012-03-16,4330,4330
2012-03-17,7755,7755
2012-03-18,5832,5832
2012-03-19,6101,6101
2012-03-20,6041,6041
2012-03-21,6169,6169
2012-03-22,6811,6811
2012-03-23,8264,8264
2012-03-24,3337,3337
2012-03-25,4937,4937
2012-03-26,5512,5512
2012-03-27,5047,5047
2012-03-28,5639,5639
2012-03-29,6055,6055
2012-03-30,5411,5411
2012-03-31,6172,6172
2012-04-01,5979,5979
2012-04-02,5881,5881
2012-04-03,6705,6705
2012-04-04,6383,6383
2012-04-05,6388,6388
2012-04-06,6411,6411
2012-04-07,6806,6806
2012-04-08,5127,5127
2012-04-09,5544,5544
2012-04-10,5867,5867
2012-04-11,4818,4818
2012-04-12,5352,5352
2012-04-13,6332,6332
2012-04-14,7367,7367
2012-04-15,7055,7055
2012-04-16,6303,6303
2012-04-17,6619,6619
2012-04-18,4334,4334
2012-04-19,6488,6488
2012-04-20,7203,7203
2012-04-21,6540,6540
2012-04-22,1000,1000
2012-04-23,3158,3158
2012-04-24,5564,5564
2012-04-25,6137,6137
2012-04-26,4989,4989
2012-04-27,6181,6181
2012-04-28,4176,4176
2012-04-29,6243,6243
2012-04-30,5528,5528
2012-05-01,5693,5693
2012-05-02,6102,6102
2012-05-03,6358,6358
2012-05-04,6214,6214
2012-05-05,6822,6822
2012-05-06,6290,6290
2012-05-07,6209,6209
2012-05-08,5689,5689
2012-05-09,4674,4674
2012-05-10,6500,6500
2012-05-11,6943,6943
2012-05-12,7334,7334
2012-05-13,6064,6064
2012-05-14,2819,2819
2012-05-15,5073,5073
2012-05-16,7255,7255
2012-05-17,7287,7287
2012-05-18,7556,7556
2012-05-19,8199,8199
2012-05-20,7042,7042
2012-05-21,4317,4317
2012-05-22,5992,5992
2012-05-23,5199,5199
2012-05-24,6705,6705
2012-05-25,6668,6668
2012-05-26,6471,6471
2012-05-27,6535,6535
2012-05-28,5991,5991
2012-05-29,5686,5686
2012-05-30,6769,6769
2012-05-31,7262,7262
2012-06-01,4078,4078
2012-06-02,8025,8025
2012-06-03,7549,7549
2012-06-04,6905,6905
2012-06-05,6941,6941
2012-06-06,6982,6982
2012-06-07,7410,7410
2012-06-08,7655,7655
2012-06-09,7421,7421
2012-06-10,6532,6532
2012-06-11,6590,6590
2012-06-12,4916,4916
2012-06-13,7353,7353
2012-06-14,7299,7299
2012-06-15,7581,7581
2012-06-16,7630,7630
2012-06-17,6906,6906
2012-06-18,5051,5051
2012-06-19,6756,6756
2012-06-20,6138,6138
2012-06-21,5825,5825
2012-06-22,5759,5759
2012-06-23,7373,7373
2012-06-24,6823,6823
2012-06-25,6706,6706
2012-06-26,7362,7362
2012-06-27,7253,7253
2012-06-28,6798,6798
2012-06-29,5395,5395
2012-06-30,5624,5624
2012-07-01,5454,5454
2012-07-02,6158,6158
2012-07-03,6582,6582
2012-07-04,7314,7314
2012-07-05,6199,6199
2012-07-06,6140,6140
2012-07-07,4789,4789
2012-07-08,4614,4614
2012-07-09,6510,6510
2012-07-10,6240,6240
2012-07-11,7192,7192
2012-07-12,7375,7375
2012-07-13,7424,7424
2012-07-14,6891,6891
2012-07-15,5952,5952
2012-07-16,6767,6767
2012-07-17,6717,6717
2012-07-18,5667,5667
2012-07-19,6546,6546
2012-07-20,5818,5818
2012-07-21,4416,4416
2012-07-22,7338,7338
2012-07-23,6885,6885
2012-07-24,7528,7528
2012-07-25,8091,8091
2012-07-26,6807,6807
2012-07-27,6840,6840
2012-07-28,6608,6608
2012-07-29,6524,6524
2012-07-30,7034,7034
2012-07-31,7140,7140
2012-08-01,7511,7511
2012-08-02,7163,7163
2012-08-03,7089,7089
2012-08-04,6737,6737
2012-08-05,5395,5395
2012-08-06,6909,6909
2012-08-07,7201,7201
2012-08-08,7436,7436
2012-08-09,7189,7189
2012-08-10,5718,5718
2012-08-11,6232,6232
2012-08-12,6459,6459
2012-08-13,6799,6799
2012-08-14,6690,6690
2012-08-15,7263,7263
2012-08-16,7524,7524
2012-08-17,7086,7086
2012-08-18,7773,7773
2012-08-19,4495,4495
2012-08-20,6479,6479
2012-08-21,6941,6941
2012-08-22,7305,7305
2012-08-23,7692,7692
2012-08-24,7513,7513
2012-08-25,5972,5972
2012-08-26,5179,5179
2012-08-27,6815,6815
2012-08-28,6983,6983
2012-08-29,7636,7636
2012-08-30,7633,7633
2012-08-31,7276,7276
2012-09-01,6081,6081
2012-09-02,5749,5749
2012-09-03,5957,5957
2012-09-04,6787,6787
2012-09-05,7054,7054
2012-09-06,6135,6135
2012-09-07,7410,7410
2012-09-08,5906,5906
2012-09-09,8119,8119
2012-09-10,7437,7437
2012-09-11,7695,7695
2012-09-12,7800,7800
2012-09-13,7742,7742
2012-09-14,7922,7922
2012-09-15,8623,8623
2012-09-16,7251,7251
2012-09-17,6775,6775
2012-09-18,4029,4029
2012-09-19,7518,7518
2012-09-20,7659,7659
2012-09-21,8076,8076
2012-09-22,8316,8316
2012-09-23,7826,7826
2012-09-24,7340,7340
2012-09-25,7467,7467
2012-09-26,7661,7661
2012-09-27,7311,7311
2012-09-28,7336,7336
2012-09-29,8470,8470
2012-09-30,6812,6812
2012-10-01,6699,6699
2012-10-02,4588,4588
2012-10-03,7496,7496
2012-10-04,7275,7275
2012-10-05,8063,8063
2012-10-06,7889,7889
2012-10-07,3463,3463
2012-10-08,5422,5422
2012-10-09,6337,6337
2012-10-10,7612,7612
2012-10-11,7509,7509
2012-10-12,7207,7207
2012-10-13,7040,7040
2012-10-14,6559,6559
2012-10-15,5826,5826
2012-10-16,7461,7461
2012-10-17,7399,7399
2012-10-18,7444,7444
2012-10-19,5358,5358
2012-10-20,8019,8019
2012-10-21,6759,6759
2012-10-22,6996,6996
2012-10-23,7397,7397
2012-10-24,7630,7630
2012-10-25,7297,7297
2012-10-26,7366,7366
2012-10-27,7769,7769
2012-10-28,4409,4409
2012-10-29,21,21
2012-10-30,1080,1080
2012-10-31,5511,5511
2012-11-01,5932,5932
2012-11-02,5795,5795
2012-11-03,5087,5087
2012-11-04,5060,5060
2012-11-05,5209,5209
2012-11-06,5639,5639
2012-11-07,4994,4994
2012-11-08,5274,5274
2012-11-09,5946,5946
2012-11-10,6478,6478
2012-11-11,6778,6778
2012-11-12,6218,6218
2012-11-13,4060,4060
2012-11-14,5437,5437
2012-11-15,5394,5394
2012-11-16,5642,5642
2012-11-17,5582,5582
2012-11-18,4637,4637
2012-11-19,5453,5453
2012-11-20,5583,5583
2012-11-21,5101,5101
2012-11-22,2393,2393
2012-11-23,3864,3864
2012-11-24,2259,2259
2012-11-25,2402,2402
2012-11-26,5040,5040
2012-11-27,3930,3930
2012-11-28,5245,5245
2012-11-29,5279,5279
2012-11-30,5617,5617
2012-12-01,5136,5136
2012-12-02,4601,4601
2012-12-03,6183,6183
2012-12-04,6562,6562
2012-12-05,5665,5665
2012-12-06,5345,5345
2012-12-07,4962,4962
2012-12-08,5526,5526
2012-12-09,3198,3198
2012-12-10,5127,5127
2012-12-11,5456,5456
2012-12-12,5279,5279
2012-12-13,5482,5482
2012-12-14,5561,5561
2012-12-15,4981,4981
2012-12-16,3743,3743
2012-12-17,4550,4550
2012-12-18,5513,5513
2012-12-19,5234,5234
2012-12-20,4097,4097
2012-12-21,3584,3584
2012-12-22,1733,1733
2012-12-23,1767,1767
2012-12-24,909,909
2012-12-25,1004,1004
2012-12-26,435,435
2012-12-27,2096,2096
2012-12-28,3068,3068
2012-12-29,1328,1328
2012-12-30,1780,1780
2012-12-31,2711,2711
2013-01-01,1964,1964
2013-01-02,3673,3673
2013-01-03,3844,3844
2013-01-04,4078,4078
2013-01-05,3517,3517
2013-01-06,3751,3751
2013-01-07,4741,4741
2013-01-08,5274,5274
2013-01-09,5110,5110
2013-01-10,5382,5382
2013-01-11,4094,4094
2013-01-12,5573,5573
2013-01-13,4114,4114
2013-01-14,5023,5023
2013-01-15,2897,2897
2013-01-16,3477,3477
2013-01-17,4769,4769
2013-01-18,4472,4472
2013-01-19,4918,4918
2013-01-20,5699,5699
2013-01-21,4527,4527
2013-01-22,2931,2931
2013-01-23,3184,3184
2013-01-24,2425,2425
2013-01-25,2354,2354
2013-01-26,2739,2739
2013-01-27,2989,2989
2013-01-28,2712,2712
2013-01-29,5791,5791
2013-01-30,4642,4642
2013-01-31,4325,4325
2013-02-01,3161,3161
2013-02-02,2450,2450
2013-02-03,2555,2555
2013-02-04,3919,3919
2013-02-05,4578,4578
2013-02-06,4871,4871
2013-02-07,4438,4438
2013-02-08,3351,3351
2013-02-09,3428,3428
2013-02-10,3576,3576
2013-02-11,4222,4222
2013-02-12,5623,5623
2013-02-13,3533,3533
2013-02-14,5117,5117
2013-02-15,5315,5315
2013-02-16,3205,3205
2013-02-17,2487,2487
2013-02-18,3320,3320
2013-02-19,3932,3932
2013-02-20,4352,4352
2013-02-21,4109,4109
2013-02-22,3526,3526
2013-02-23,2547,2547
2013-02-24,4325,4325
2013-02-25,4948,4948
2013-02-26,2742,2742
2013-02-27,5388,5388
2013-02-28,5084,5084
2013-03-01,4886,4886
2013-03-02,3707,3707
2013-03-03,3048,3048
2013-03-04,4412,4412
2013-03-05,5181,5181
2013-03-06,1125,1125
2013-03-07,5006,5006
2013-03-08,4835,4835
2013-03-09,6768,6768
2013-03-10,6764,6764
2013-03-11,6039,6039
2013-03-12,4245,4245
2013-03-13,5693,5693
2013-03-14,4826,4826
2013-03-15,6330,6330
2013-03-16,6168,6168
2013-03-17,3942,3942
2013-03-18,2747,2747
2013-03-19,5942,5942
2013-03-20,5806,5806
2013-03-21,4508,4508
2013-03-22,5407,5407
2013-03-23,6479,6479
2013-03-24,3857,3857
2013-03-25,1912,1912
2013-03-26,5583,5583
2013-03-27,5800,5800
2013-03-28,5583,5583
2013-03-29,7384,7384
2013-03-30,9598,9598
2013-03-31,3785,3785
2013-04-01,6368,6368
2013-04-02,5902,5902
2013-04-03,6226,6226
2013-04-04,5829,5829
2013-04-05,7589,7589
2013-04-06,9271,9271
2013-04-07,9762,9762
2013-04-08,8466,8466
2013-04-09,9750,9750
2013-04-10,9553,9553
2013-04-11,9091,9091
2013-04-12,5997,5997
2013-04-13,11267,11267
2013-04-14,9604,9604
2013-04-15,6908,6908
2013-04-16,8247,8247
2013-04-17,8477,8477
2013-04-18,7686,7686
2013-04-19,6118,6118
2013-04-20,8793,8793
2013-04-21,7330,7330
2013-04-22,6737,6737
2013-04-23,7434,7434
2013-04-24,8460,8460
2013-04-25,8262,8262
2013-04-26,8996,8996
2013-04-27,10820,10820
2013-04-28,7851,7851
2013-04-29,4289,4289
2013-04-30,5359,5359
2013-05-01,8608,8608
2013-05-02,8490,8490
2013-05-03,8655,8655
2013-05-04,9472,9472
2013-05-05,7986,7986
2013-05-06,6506,6506
2013-05-07,4419,4419
2013-05-08,6586,6586
2013-05-09,7793,7793
2013-05-10,8870,8870
2013-05-11,6455,6455
2013-05-12,8010,8010
2013-05-13,7381,7381
2013-05-14,8061,8061
2013-05-15,8756,8756
2013-05-16,8895,8895
2013-05-17,10047,10047
2013-05-18,6333,6333
2013-05-19,6674,6674
2013-05-20,8383,8383
2013-05-21,9042,9042
2013-05-22,8895,8895
2013-05-23,8051,8051
2013-05-24,6627,6627
2013-05-25,7944,7944
2013-05-26,9888,9888
2013-05-27,8966,8966
2013-05-28,7552,7552
2013-05-29,9275,9275
2013-05-30,8740,8740
2013-05-31,9103,9103
2013-06-01,9457,9457
2013-06-02,7664,7664
2013-06-03,7393,7393
2013-06-04,9926,9926
2013-06-05,9986,9986
2013-06-06,6854,6854
2013-06-07,2477,2477
2013-06-08,9758,9758
